               name               | abbrev | utc_offset | is_dst 
 bgwriter_delay                         | 200                                                 | ms   | Использование ресурсов / Фоновая запись                                            | Время простоя в процессе фоновой записи между подходами.                                                                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | sighup            | integer | default              | 10          | 10000        |                                                                                | 200                            | 200                                                 |                                                     |            | f
 bgwriter_flush_after                   | 0                                                   | 8kB  | Использование ресурсов / Фоновая запись                                            | Число страниц, по достижении которого ранее выполненные операции записи сбрасываются на диск.                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | sighup            | integer | default              | 0           | 256          |                                                                                | 0                              | 0                                                   |                                                     |            | f
 bgwriter_lru_maxpages                  | 100                                                 |      | Использование ресурсов / Фоновая запись                                            | Максимальное число LRU-страниц, сбрасываемых за один подход, в процессе фоновой записи.                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | sighup            | integer | default              | 0           | 1073741823   |                                                                                | 100                            | 100                                                 |                                                     |            | f
 bgwriter_lru_multiplier                | 2                                                   |      | Использование ресурсов / Фоновая запись                                            | Множитель для среднего числа использованных буферов, определяющий число буферов, освобождаемых за один подход.                                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | sighup            | real    | default              | 0           | 10           |                                                                                | 2                              | 2                                                   |                                                     |            | f
 block_size                             | 8192                                                |      | Предопределённые параметры                                                         | Показывает размер дискового блока.                                                                                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | internal          | integer | default              | 8192        | 8192         |                                                                                | 8192                           | 8192                                                |                                                     |            | f
 bonjour                                | off                                                 |      | Подключения и аутентификация / Параметры подключений                               | Включает объявление сервера посредством Bonjour.                                                                                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | postmaster        | bool    | default              |             |              |                                                                                | off                            | off                                                 |                                                     |            | f
 bonjour_name                           |                                                     |      | Подключения и аутентификация / Параметры подключений                               | Задаёт название службы Bonjour.                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | postmaster        | string  | default              |             |              |                                                                                |                                |                                                     |                                                     |            | f
 bytea_output                           | hex                                                 |      | Параметры клиентских подключений по умолчанию / Поведение команд                   | Задаёт формат вывода данных типа bytea.                                                                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | user              | enum    | default              |             |              | {escape,hex}                                                                   | hex                            | hex                                                 |                                                     |            | f
 check_function_bodies                  | on                                                  |      | Параметры клиентских подключений по умолчанию / Поведение команд                   | Проверять тело функций в момент CREATE FUNCTION.                                                                                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | user              | bool    | default              |             |              |                                                                                | on                             | on                                                  |                                                     |            | f
 checkpoint_completion_target           | 0.5                                                 |      | Журнал WAL / Контрольные точки                                                     | Отношение продолжительности сброса "грязных" буферов во время контрольной точки к интервалу контрольных точек.                                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | sighup            | real    | default              | 0           | 1            |                                                                                | 0.5                            | 0.5                                                 |                                                     |            | f
 checkpoint_flush_after                 | 0                                                   | 8kB  | Журнал WAL / Контрольные точки                                                     | Число страниц, по достижении которого ранее выполненные операции записи сбрасываются на диск.                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | sighup            | integer | default              | 0           | 256          |                                                                                | 0                              | 0                                                   |                                                     |            | f
 checkpoint_timeout                     | 300                                                 | s    | Журнал WAL / Контрольные точки                                                     | Задаёт максимальное время между автоматическими контрольными точками WAL.                                                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | sighup            | integer | default              | 30          | 86400        |                                                                                | 300                            | 300                                                 |                                                     |            | f
 checkpoint_warning                     | 30                                                  | s    | Журнал WAL / Контрольные точки                                                     | Выдаёт предупреждения, когда сегменты контрольных точек заполняются за это время.                                                                                  | Записывает в протокол сервера сообщения, когда контрольные точки, вызванные переполнением файлов сегментов, происходят за столько секунд. Нулевое значение отключает эти предупреждения.                                                                                                                                                                                                                                                                                                                                      | sighup            | integer | default              | 0           | 2147483647   |                                                                                | 30                             | 30                                                  |                                                     |            | f
 client_encoding                        | WIN1251                                             |      | Параметры клиентских подключений по умолчанию / Языковая среда и форматы           | Задаёт кодировку символов, используемую клиентом.                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | user              | string  | client               |             |              |                                                                                | SQL_ASCII                      | WIN1251                                             |                                                     |            | f
 client_min_messages                    | notice                                              |      | Параметры клиентских подключений по умолчанию / Поведение команд                   | Ограничивает уровень сообщений, передаваемых клиенту.                                                                                                              | Каждый уровень включает все последующие. Чем выше уровень, тем меньше сообщений.                                                                                                                                                                                                                                                                                                                                                                                                                                              | user              | enum    | default              |             |              | {debug5,debug4,debug3,debug2,debug1,log,notice,warning,error}                  | notice                         | notice                                              |                                                     |            | f
 cluster_name                           |                                                     |      | Заголовок процесса                                                                 | Задаёт имя кластера, которое будет добавляться в название процесса.                                                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | postmaster        | string  | default              |             |              |                                                                                |                                |                                                     |                                                     |            | f
 commit_delay                           | 0                                                   |      | Журнал WAL / Параметры                                                             | Задаёт задержку в микросекундах между фиксированием транзакций и сбросом WAL на диск.                                                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | superuser         | integer | default              | 0           | 100000       |                                                                                | 0                              | 0                                                   |                                                     |            | f
 commit_siblings                        | 5                                                   |      | Журнал WAL / Параметры                                                             | Задаёт минимальное число одновременно открытых транзакций для применения commit_delay.                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | user              | integer | default              | 0           | 1000         |                                                                                | 5                              | 5                                                   |                                                     |            | f
 config_file                            | C:/Program Files/PostgreSQL/13/data/postgresql.conf |      | Расположения файлов                                                                | Определяет основной файл конфигурации сервера.                                                                                                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | postmaster        | string  | override             |             |              |                                                                                |                                | C:/Program Files/PostgreSQL/13/data/postgresql.conf |                                                     |            | f
 constraint_exclusion                   | partition                                           |      | Настройка запросов / Другие параметры планировщика                                 | Разрешает планировщику оптимизировать запросы, полагаясь на ограничения.                                                                                           | Сканирование таблицы не будет выполняться, если её ограничения гарантируют, что запросу не удовлетворяют никакие строки.                                                                                                                                                                                                                                                                                                                                                                                                      | user              | enum    | default              |             |              | {partition,on,off}                                                             | partition                      | partition                                           |                                                     |            | f
 cpu_index_tuple_cost                   | 0.005                                               |      | Настройка запросов / Константы стоимости для планировщика                          | Задаёт для планировщика ориентир стоимости обработки каждого элемента индекса в процессе сканирования индекса.                                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | user              | real    | default              | 0           | 1.79769e+308 |                                                                                | 0.005                          | 0.005                                               |                                                     |            | f
 cpu_operator_cost                      | 0.0025                                              |      | Настройка запросов / Константы стоимости для планировщика                          | Задаёт для планировщика ориентир стоимости обработки каждого оператора или вызова функции.                                                                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | user              | real    | default              | 0           | 1.79769e+308 |                                                                                | 0.0025                         | 0.0025                                              |                                                     |            | f
 cpu_tuple_cost                         | 0.01                                                |      | Настройка запросов / Константы стоимости для планировщика                          | Задаёт для планировщика ориентир стоимости обработки каждого кортежа (строки).                                                                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | user              | real    | default              | 0           | 1.79769e+308 |                                                                                | 0.01                           | 0.01                                                |                                                     |            | f
 cursor_tuple_fraction                  | 0.1                                                 |      | Настройка запросов / Другие параметры планировщика                                 | Задаёт для планировщика ориентир доли требуемых строк курсора в общем числе.                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | user              | real    | default              | 0           | 1            |                                                                                | 0.1                            | 0.1                                                 |                                                     |            | f
 data_checksums                         | off                                                 |      | Предопределённые параметры                                                         | Показывает, включён ли в этом кластере контроль целостности данных.                                                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | internal          | bool    | override             |             |              |                                                                                | off                            | off                                                 |                                                     |            | f
 data_directory                         | C:/Program Files/PostgreSQL/13/data                 |      | Расположения файлов                                                                | Определяет каталог данных сервера.                                                                                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | postmaster        | string  | override             |             |              |                                                                                |                                | C:/Program Files/PostgreSQL/13/data                 |                                                     |            | f
 data_directory_mode                    | 0700                                                |      | Предопределённые параметры                                                         | Режим каталога данных.                                                                                                                                             | Значение параметра указывается в числовом виде, воспринимаемом системными функциями chmod и umask. (Чтобы использовать привычный восьмеричный формат, добавьте в начало ноль (0).)                                                                                                                                                                                                                                                                                                                                            | internal          | integer | default              | 0           | 511          |                                                                                | 448                            | 448                                                 |                                                     |            | f
 data_sync_retry                        | off                                                 |      | Обработка ошибок                                                                   | Продолжать работу после ошибки при сохранении файлов данных на диске.                                                                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | postmaster        | bool    | default              |             |              |                                                                                | off                            | off                                                 |                                                     |            | f
 DateStyle                              | ISO, DMY                                            |      | Параметры клиентских подключений по умолчанию / Языковая среда и форматы           | Устанавливает формат вывода дат и времени.                                                                                                                         | Также помогает разбирать неоднозначно заданные вводимые даты.                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | user              | string  | configuration file   |             |              |                                                                                | ISO, MDY                       | ISO, DMY                                            | C:/Program Files/PostgreSQL/13/data/postgresql.conf |        678 | f
 db_user_namespace                      | off                                                 |      | Подключения и аутентификация / Аутентификация                                      | Включает связывание имён пользователей с базами данных.                                                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | sighup            | bool    | default              |             |              |                                                                                | off                            | off                                                 |                                                     |            | f
 deadlock_timeout                       | 1000                                                | ms   | Управление блокировками                                                            | Задаёт интервал ожидания в блокировке до проверки на взаимоблокировку.                                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | superuser         | integer | default              | 1           | 2147483647   |                                                                                | 1000                           | 1000                                                |                                                     |            | f
 debug_assertions                       | off                                                 |      | Предопределённые параметры                                                         | Показывает, включены ли проверки истинности на работающем сервере.                                                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | internal          | bool    | default              |             |              |                                                                                | off                            | off                                                 |                                                     |            | f
 debug_pretty_print                     | on                                                  |      | Отчёты и протоколы / Что записывать                                                | Отступы при отображении деревьев разбора и плана запросов.                                                                                                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | user              | bool    | default              |             |              |                                                                                | on                             | on                                                  |                                                     |            | f
 debug_print_parse                      | off                                                 |      | Отчёты и протоколы / Что записывать                                                | Протоколировать дерево разбора для каждого запроса.                                                                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | user              | bool    | default              |             |              |                                                                                | off                            | off                                                 |                                                     |            | f
 debug_print_plan                       | off                                                 |      | Отчёты и протоколы / Что записывать                                                | Протоколировать план выполнения каждого запроса.                                                                                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | user              | bool    | default              |             |              |                                                                                | off                            | off                                                 |                                                     |            | f
